Genes	1AP	2A	2P	3A	3P	4A	4P	5A	5P	6A	6P	7A	7P	8A	8P
Ticam1	0	1	0.2	0	0.5	0.5	0.8	1	1	1.5	0.3	0.2	0.7	1.6	0.6
Ticam2	0.3	1	0.6	0.6	1	1	1.3	1.4	0.9	0.6	0.8	0.5	0.3	1.1	0.1
Ticrr	1.3	1.8	1.7	1.9	1.8	2	1.9	2	1.8	2.2	2.3	1.9	2.3	2.1	2.4
Tigd2	1.9	1.7	2	2.2	1.8	2	1.6	1.7	0.9	2	1.8	1.7	1.9	2	1.6
Timd2	0.6	0.2	0	0.2	0	0.1	0	0	0	0	0.2	0	0	0	0
Timeless	2.7	3.5	3.2	3.7	3.2	3.7	3.2	3.6	2.9	3.7	3.2	3.5	3.7	3.9	4
Timm10	5.3	6.9	7.1	6.9	7.2	6.8	7.2	6.6	7.2	7.2	7.3	7.1	7.2	7.2	7.1
Timm10b	4.4	5.1	5	5	5.1	5.3	5.1	5.5	5.3	5.6	5.2	4.9	5.1	5.8	5.5
Timm13	5.6	6.9	7.1	7.1	7.1	7	7.1	6.8	7.4	7.3	7.6	7.4	7.4	7.3	7.5
Timm17a	5.7	6.9	7	7.1	7	7	7	6.9	7.2	7.2	7.5	7	7.1	7.4	7
Timm17b	2.9	4.3	4.7	4.8	4.7	4.7	4.7	4.5	4.6	4.9	5.2	4.7	4.8	5.4	5.2
Timm21	2.8	3.9	4.4	5.2	4.5	5	4.6	4.8	4.3	4.5	5	4.5	4.5	4.6	4.7
Timm22	3	4.1	3.7	4	3.9	4.1	4.1	4.2	4.3	4.2	4.6	4.2	4	4.4	4.5
Timm23	7	8.1	8.2	8.2	8.2	8.3	8.2	8.3	8	8.7	8.4	8.3	8.3	8.6	8.6
Timm44	3.7	4.2	5	4.1	4.5	4.4	4	4.7	4.3	4.5	4.7	4.7	4.9	5.1	4.6
Timm50	3.9	5.5	5.7	5.8	5.8	5.8	5.8	5.7	5.7	6.1	6.4	6.1	6.3	6.4	6
Timm8a1	5.4	6.3	6.7	6.9	6.6	6.8	6.5	6.6	6.7	6.8	6.9	6.6	6.8	6.9	6.9
Timm8b	6.5	8.1	8.3	8.2	8.2	8	8.1	7.8	8.2	8.7	8.6	8.2	8.7	8.5	8.7
Timm9	4.8	5.6	5.9	5.6	5.9	5.5	5.9	5.4	5.9	5.6	6	5.7	5.8	6.2	6.3
Timmdc1	2.7	2.7	3.1	3.1	3.3	3.2	3.5	3.2	3.2	3.4	3.7	3	3.9	3.4	3.5
Timp1	1.9	3.1	3.4	3.3	3.8	3.1	4.1	2.8	4.1	4.2	2.5	2.5	3.4	2.6	3.3
Timp2	0.8	1.5	0.5	1	1	1.2	1.5	1.4	0.9	1.5	1	1.1	0.6	1.4	0.7
Timp3	1.5	2.2	1.1	1.3	1.1	1.7	1	2	0.9	1.4	1.4	1.2	1.3	1.1	2.2
Timp4	0	0	0	2.4	0.5	1.9	1	1.4	1.8	1.8	0	0	1	1.2	0.3
Tinagl1	0.8	0	0	0	0	0	0	0	0.2	0	0	0	0	2.6	0
Tinf2	3	3.6	3.5	4.2	3.8	4.1	4	4	3.3	3.8	4.1	4.6	4.6	4.1	4.3
Tiparp	2.2	2	2.8	2.2	2.7	2.3	2.5	2.3	2.6	2.6	3.6	2.6	3.1	2.1	3.2
Tipin	5.9	7.2	7	7.1	7	7.1	7	7.1	6.9	7.2	7.3	7.3	6.9	7.6	7.3
Tiprl	2.2	3.3	2.8	3.1	2.8	3.1	2.8	3.1	2.9	3.1	3.2	2.7	3	3	2.6
Tirap	0.4	1	1.5	0.3	1.1	0.9	0.7	1.4	0.6	0.9	1.9	0.3	1.2	1.6	0.8
Tjap1	2.2	3.1	2.6	3.3	2.7	2.8	2.7	2.3	2.5	2.8	3	2.3	3.7	3.2	3.9
Tjp1	2.2	3	2.5	3.2	2.9	3.1	3.2	3	3.1	3.3	2.8	3.3	2.5	3.3	3.3
Tjp2	2.8	4.2	4	3.6	3.8	3.8	3.6	4	3.4	4	3.1	4.3	3.4	3.6	3.6
Tjp3	0	1.7	0	0.2	0.1	0.3	0.1	0.4	0	0.6	0	1.2	0	0.2	1.2
Tk1	3.7	4.5	5.2	4.9	4.8	4.8	4.4	4.6	4.6	5.3	5	5.3	5	5.9	4.6
Tk2	1.5	0.2	2.2	1.6	2	1.9	1.8	2.2	0.7	2.1	2.8	2.4	2.1	1.8	3.2
Tkt	5.7	6.2	6.6	6.5	6.6	6.5	6.5	6.5	6.8	6.9	7	6.9	6.8	7	6.9
Tlcd1	3.8	3.8	4.7	4.4	4.9	4.5	5.1	4.6	5.1	4.9	5.1	4.5	5.5	5.2	4.7
Tlcd2	0	0.4	0.4	1.9	0.6	1.9	0.7	1.8	0.4	1.5	1.4	0.4	0	1.1	0.3
Tle1	0.7	1	1.4	1.5	0.8	1.7	0.2	1.9	1.5	1.6	1.3	1.3	1.1	1.3	1.8
Tle2	0	0	0.3	0.2	0.2	0.3	0	0.3	0	0.2	0	0	0	0	0
Tle3	2.5	2.7	2.9	2.6	3.2	2.8	3.4	3	3.6	2.8	3.5	3.5	3.6	3.5	3.3
Tle4	2.8	3.1	2.7	2.9	2.2	3.2	1.6	3.4	2.7	3.4	3	3.7	3.3	3.2	2.7
Tle6	0	0.4	0	0	0	0.4	0	0.8	0.2	0.4	0.2	0.2	0	0.9	0
Tlk1	3.1	4	3.5	3.7	3.6	3.8	3.7	3.8	3.8	4.1	4.1	3.8	3.7	4	4
Tlk2	2.3	2.7	2.5	2.9	2.5	2.6	2.5	2.3	2.5	2.7	3	3	3	3	3.1
Tln1	1.1	1.6	1.6	1.1	1.7	1.4	1.7	1.7	2.1	1.9	2.1	1.1	2.1	1.8	1.7
Tln2	0.9	1.5	1.3	1.4	1.3	1.4	1.3	1.3	1.2	1.5	1.5	1.5	1.3	1.1	0.9
Tlr3	1.1	0.1	0.5	1.1	0.3	0.6	0	0.1	0	0.1	0.4	0.5	0	0.3	0
Tm2d1	3.7	4.3	4.4	4.8	4.5	4.7	4.6	4.6	4.8	4.8	5.1	5	5.4	4.9	4.9
Tm2d2	3.1	3.3	4.1	4.6	4.1	4.2	4.1	3.8	4.4	3.9	5	4.1	4.6	5	4.7
Tm2d3	3.4	4.8	4.3	5.2	4.8	5	5.3	4.8	5.2	5.1	5.4	5.1	5.1	5.3	5.3
Tm4sf5	0	0.9	0.5	1.5	0.7	1.2	0.8	0.9	0.5	1.9	0	0.8	1.1	1.4	0.7
Tm7sf2	1	0.6	1.6	1.8	1.4	1.8	1.1	1.8	0.6	1.1	1.4	1.5	0.8	2	1.6
Tm7sf3	1.5	1.9	1.7	1.8	2	2.2	2.2	2.6	2.2	2.4	1.3	1.8	1.9	2.2	2.1
Tm9sf1	1.7	2.5	2.9	2.3	2.9	2.3	2.8	2.2	2.9	2.5	2.9	2.5	2.8	2.6	3.3
Tm9sf2	3.3	3.9	4.1	4.7	4.3	4.7	4.4	4.7	4.8	4.3	5.2	4.5	3.9	4.7	4.4
Tm9sf3	2.5	3.2	2.5	3.1	2.9	3.2	3.3	3.2	3.3	3.3	3.4	3.1	3.2	3.5	3.8
Tm9sf4	1.7	2.3	2.8	2.9	2.5	2.7	2.2	2.5	3.1	2.2	2.7	2.1	3.1	2.7	2.8
Tma16	4.4	5.8	5.5	5.8	5.6	5.7	5.7	5.5	5.6	5.8	5.9	5.6	5.8	5.7	6.1
Tma7	7.2	9	9	9.3	9.1	9.1	9.2	8.9	9.1	9.5	9.5	9.3	9.4	9.4	9.3
Tmbim1	1	1.3	1.1	1.7	1.3	1.9	1.4	2	1.1	2	2.1	1	2.2	2.5	2.2
Tmbim4	4.5	5.7	5.8	5.9	5.6	5.6	5.4	5.2	5.7	5.9	5.8	5.7	5.6	6.1	5.9
Tmbim6	4.5	5.3	5.3	5.4	5.4	5.4	5.4	5.3	5.5	5.5	6	5.5	5.7	5.5	5.6
Tmc4	1.5	0.9	1.5	0.6	1.6	1.4	1.7	2.1	1.4	1.9	1.8	1.5	2.2	2.5	1.8
Tmc6	1.3	1.2	1.6	0	1.3	1.1	1	2.1	1.1	1.5	2	1.5	0.3	0.6	0.6
Tmc7	0.6	0.5	1	0.5	0.8	1	0.6	1.4	0.9	0.6	0.4	0.8	0.1	0.7	0.2
Tmcc1	0.2	0.4	1.5	0.3	1.3	0.7	1	1	0.7	0.8	0.7	1.1	1	0.8	1.5
Tmcc2	0	1.1	1.1	1.3	0.6	1.2	0.1	1	0.7	1.1	0.7	1.5	1.4	0.9	0.8
Tmcc3	0.6	0.7	0.8	0.6	0.8	1.1	0.8	1.6	0.6	1.1	0.9	1.5	1.6	1.8	1.1
Tmco1	2.9	3.5	3.6	4	3.7	3.7	3.7	3.3	4	4.1	3.8	3.7	3.8	4	4.1
Tmco3	0	0.8	0.8	0.1	1	0.2	1.1	0.3	0.7	0.7	1.2	1.1	0.5	0.9	0.6
Tmco4	0.5	0.6	1.1	0	1.1	0.3	1.1	0.6	0.7	0.5	0	0.6	0.4	0.4	1.4
Tmco6	1.4	1.9	1.7	0.8	1.9	1.7	2.1	2.5	2.8	1.9	2.1	2.5	2.6	2.6	2.8
Tmed1	3.3	4.9	5.4	5.2	5.3	5	5.1	4.8	5.4	5.2	5.6	5	5.3	5.3	5.6
Tmed10	3.6	4.9	5.2	5.1	5.3	5	5.4	4.9	5.2	5.6	5.4	5.1	5.5	5.1	5.5
Tmed11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmed2	4.1	5.5	5.4	5.4	5.4	5.7	5.4	5.9	5.8	5.9	5.9	5.9	5.4	6.1	5.6
Tmed3	1.8	2.3	2.7	3	3	3	3.2	2.9	3.4	3.4	2.6	2.4	1.6	3.1	3.6
Tmed4	2.5	3.7	4.7	4.3	4.2	4.3	3.7	4.2	3	4.1	4.3	4.7	4	4.2	4.6
Tmed5	3.5	3.4	3.8	3.8	3.8	3.8	3.8	3.7	3.9	4.2	4.1	3.5	4.2	3.5	4.4
Tmed6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmed7	3.7	3.7	3.5	4.2	3.6	4.3	3.7	4.4	4.2	4.3	4.6	4	3.9	4	4.2
Tmed8	0.1	1	1.6	1	1.4	0.8	1.1	0.6	1.1	1	0.9	0.9	0.8	0.8	0.2
Tmed9	4.6	5.7	5.8	5.4	5.9	5.6	6	5.7	5.7	6.1	6.1	5.4	6.2	5.8	5.5
Tmeff1	4	4.3	4	4.5	4.3	4.6	4.6	4.7	4.4	4.1	4.7	4.1	3.9	4.4	4.7
Tmem100	0.5	2.1	2.7	1.9	2.4	1.8	2.1	1.7	0.8	2	0.2	1.6	1	1.4	1.1
Tmem101	1.8	3.5	4.2	3.7	3.9	3.4	3.6	3	3.3	3.4	3.8	3.3	3.6	3.4	3.9
Tmem104	0.2	0.3	1.1	0.7	1.1	0.6	1.1	0.5	0.8	0.3	0.4	0.7	0.4	1	0.4
Tmem106a	0	0.2	0	0.4	0	0.4	0	0.4	0.7	0	0.3	0.6	0	0	0.9
Tmem106b	1.2	1.6	0.6	1.1	0.5	1.1	0.3	1	1.1	1	0.8	1.2	1.6	1.5	0.7
Tmem106c	3.3	3.5	3.5	4	3.8	3.7	4	3.3	3.2	3.3	3.3	3.8	2.1	3.7	3.6
Tmem107	2.7	2.9	4	3.8	3.9	3.8	3.8	3.7	3.2	4.2	4.3	2.6	4	3.8	3.8
Tmem109	2.6	3.6	2.6	2.8	2.9	3	3.1	3.1	3	3.4	3.6	3.5	3	3.3	2.8
Tmem11	4.3	5.7	5.8	5.7	5.8	5.6	5.7	5.5	5.4	5.7	6.2	5.6	6.3	5.9	5.9
Tmem110	1.2	1.6	2	2.7	2	2.6	2	2.4	2.6	2.1	2.4	1.4	2	2.6	2.6
Tmem115	1	2.6	1.9	3.1	2	2.9	2	2.7	2.9	3.4	2.8	2.6	2.9	4	2.7
Tmem116	0	0	0	0.4	0	0.2	0	0	0	1.4	0.5	0	0	0	0
Tmem119	0.4	0	1.3	0	0.7	0.5	0	0.9	0.4	0.2	2.3	0.6	1.7	1.6	1.4
Tmem120a	3.1	2.7	3.2	3.1	3.3	3.3	3.3	3.4	3.6	4	4.9	4.5	4.1	3.3	4.1
Tmem120b	0	1.1	0.4	2.2	0.8	1.7	1.2	1.2	2	0.6	2.7	1.5	2.1	1.6	0
Tmem121	1	2.3	3	2.4	2.6	2.7	2.1	3	1.7	3.8	2.5	3.1	2.5	2.7	3.5
Tmem123	0.8	2.7	2.8	2.5	3	2.5	3.1	2.4	2.6	2.6	2.9	2.9	3.4	3	2.7
Tmem125	1.6	1.4	0.8	1.5	0.4	1.3	0	1.1	0	1.5	0	1.6	1.4	2.3	0.8
Tmem126a	3.8	6.6	6.8	6.7	6.6	6.5	6.4	6.2	6.5	6.5	6.7	6.9	6.9	6.9	6.8
Tmem126b	1	2	4.4	3.8	4.2	3.6	3.9	3.3	2.8	3.3	3.8	4	3.6	3.9	3.3
Tmem127	1.9	1.9	2.4	1.3	2.4	1.2	2.4	1.1	1.5	2.7	2.4	2	2.1	1.5	2.6
Tmem128	3.2	4.7	4.6	4.5	4.6	4.4	4.5	4.3	4.3	5.3	4.9	4.4	4.4	5	4.8
Tmem129	2.2	1.5	1.5	2.1	1.3	1.5	1	0.8	2.3	2.1	2.5	2.5	0.5	2.2	2.4
Tmem130	0.9	0.3	1.3	1.4	1.7	1	2.1	0.5	0.6	0.8	0.7	0.4	0.6	0.5	0.7
Tmem131	2	2.7	2.9	3	2.8	2.9	2.6	2.7	3.1	2.8	2.8	3	3	2.8	2.6
Tmem132a	2.6	3.6	3.6	3.3	3.5	3.4	3.3	3.4	3.4	3.2	3.6	3.2	3.2	3.3	3.1
Tmem134	2.5	3.8	4.3	3.7	4.1	3.7	3.8	3.7	3.6	4	4.4	3.8	4.5	4.1	3.4
Tmem135	0.3	0.7	1	0.8	1.2	1.4	1.4	1.9	1	0.3	0.5	0.7	1.6	1.1	1
Tmem136	0.7	0.4	0.4	0.8	0.2	0.5	0	0.1	0.9	0.6	0.7	0.8	0.3	0	0.7
Tmem138	3.1	4.5	4.7	4.5	4	4.8	3.3	5	5	4.1	5.5	4	4.8	4.8	5
Tmem139	0	0	1.7	1.5	1.8	0.8	1.9	0	0	1.2	0.9	0	0	1.1	0
Tmem141	1.3	2.4	2.2	3.5	2.6	3.4	2.9	3.2	2	3.8	2.7	3.1	3.1	2.2	4
Tmem143	0	0.7	0.2	1.1	0.5	1.2	0.8	1.2	0.6	0.5	0.9	0.7	1	1.2	0.9
Tmem144	0.7	0.7	1.4	1	1.2	1	0.9	0.9	0.4	0.9	1.4	1.8	0	0.3	1
Tmem147	4.6	6.5	6.4	6.6	6.5	6.4	6.6	6.2	6.5	6.8	6.7	6.4	6.5	6.7	6.5
Tmem14a	0	1	1.8	1.1	2.3	1.1	2.7	1	0.4	1.8	1.5	2.1	1.8	1.9	0
Tmem14c	4.3	6.3	6	6.5	6.3	6.2	6.5	5.8	6.7	6.6	6.5	6.3	6.3	6.8	7
Tmem150a	0	1.2	3.1	1.7	2.7	2	2.2	2.3	2	2.4	2.9	2.7	2.9	2.7	3
Tmem151b	0.2	1	0.4	0.2	0.3	0.5	0.2	0.8	0.3	0.2	0.6	0.3	1	0	0.6
Tmem154	0.5	0.5	1	1.3	0.9	0.9	0.7	0.4	0	1.7	0.8	0.6	0	0	0
Tmem158	0.5	1.9	1.7	1.4	1.7	1.7	1.6	1.9	1.2	1.2	0.8	1.3	1.8	2.3	1.8
Tmem159	0.6	1.9	1.3	1.8	1.2	2.1	1	2.3	1.9	1.9	0.6	1.9	0	1.2	1.9
Tmem160	4.9	6.1	6	6.4	5.9	6.2	5.7	6	6.4	6.5	6.2	5.9	6	6.1	6
Tmem161a	1.9	2.2	2.5	2.8	2.3	3	2.1	3.2	3	3.4	2.6	2.7	2.9	2.4	3.2
Tmem161b	2.3	2.3	2.7	2.7	2.3	2.8	1.9	2.8	3	1.5	2	2.9	2.6	2.9	2.4
Tmem164	1.1	2.4	1.9	2.5	1.9	2.1	1.8	1.7	2.3	2.2	2.8	2.2	2.7	3.1	2.8
Tmem165	4.2	4.9	4.8	5	5.1	5.1	5.3	5.1	5.2	4.8	5.1	4.9	4.9	5.4	5.4
Tmem167	2.4	3.7	4	3.8	3.9	3.9	3.7	3.9	3.9	4.1	4.1	3.7	3.7	4	3.9
Tmem167b	1.6	1.8	1.3	1.5	1.4	1.7	1.4	1.9	1.5	1.1	1.9	1.1	2	1.9	2.1
Tmem168	0.8	1.1	1.9	1.4	1.7	1.3	1.4	1.1	1.4	0.6	0.9	1.9	2	2.3	0.7
Tmem17	1.9	1.4	2.8	1.7	2.7	1.5	2.5	1.2	2.2	1.9	2.5	2.8	2.2	1.8	2.6
Tmem170	0.8	1.9	0	0.5	0.4	0.7	0.8	0.9	0.8	0.4	1.5	0.7	1.4	0.5	1.1
Tmem175	0.8	0.4	0.8	1.1	1.2	0.9	1.5	0.6	1.3	1.7	0.6	2.6	1.4	1.9	1.8
Tmem176a	0.9	1.9	0	0	1.2	0.6	2.3	1.1	0.5	1.5	1.6	0	2.2	2.1	2.2
Tmem176b	0	1.5	0.4	1.8	0.7	1.5	1	1.1	2.3	2.4	2.8	2.3	2.2	2.4	1.6
Tmem177	0.5	1.9	2.4	1.5	2.2	2	1.9	2.5	1.3	2.6	1.8	1.8	2.1	2.1	0.8
Tmem179b	3.6	5.4	5.6	4.9	5.2	5	4.8	5	5.3	4.6	5.8	5	4.8	5.2	6.3
Tmem18	0.6	1.3	1.3	1.6	1.4	1.4	1.4	1.2	1	1.9	1.1	0.3	1.1	1.8	0.9
Tmem180	2.5	3	3.5	2.8	2.8	3.3	2.1	3.7	3	3.6	2.6	2.9	3.6	2.5	3.4
Tmem181a	0.9	1.1	1.7	1.8	1.5	1.5	1.3	1.1	0.8	2	0.5	1.3	2.4	2.7	0.9
Tmem181b-ps	0.4	0.4	1.3	1.4	1.1	1.3	0.8	1.1	0.8	1.5	0.6	0.5	0.9	2.1	0.6
Tmem181c-ps	0.9	1.5	1.8	1.7	2	1.7	2.1	1.7	1.4	1.4	1.7	1.4	1.6	3.2	1.4
Tmem183a	3.4	4.3	4.4	4.6	4.2	4.5	3.9	4.4	5	4.4	4.8	4.7	4.8	4.7	4.8
Tmem184a	0	0.8	0.4	1.1	0.2	1.4	0	1.6	0	0	0	1.6	0	2.6	0
Tmem184b	1.2	1.4	1.4	0.5	1.2	1	1	1.4	1.9	1.7	2	1.1	1.9	1.4	1.8
Tmem184c	2.2	2.1	2.8	3.5	3	3.4	3.2	3.2	3.4	3.5	3	3.1	2.8	3.5	3.3
Tmem185b	1.2	2.7	1.9	1.5	2	1.6	2.1	1.7	2.2	1	3.3	1.7	2.1	1.9	2
Tmem186	1	1	2.4	0.4	2.3	1.4	2.2	2.3	1.9	1.8	2.4	1.5	2.5	2.6	1.7
Tmem189	2.3	3.5	3.3	3.8	3.5	3.5	3.6	3.2	3.9	3.6	3.5	3.8	2.9	3.4	3.9
Tmem19	0.6	2	1.1	1.7	1.7	1.5	2.2	1.2	1.5	2.4	1.5	2.3	1.2	1	1.7
Tmem191c	0	1.5	1.3	0	0.7	0.3	0	0.6	0	0	0	0.3	0	0	0.5
Tmem192	1.3	3.2	4.3	4	4.4	3.6	4.4	3.1	4.8	3.4	4.5	4.2	4.6	4.6	4.5
Tmem194	1	1.2	1.2	1.6	1.3	1.5	1.4	1.4	1.5	1.6	1.8	1.3	1.6	1.6	1.2
Tmem194b	0.3	1	1.5	1.5	1.3	1.7	1	1.9	0.4	1.6	1.1	1.4	2	1.3	1.7
Tmem198b	1.2	1.7	1.4	2.2	1.8	1.9	2.1	1.5	2.1	1.1	2.9	2	2.7	1.6	2.5
Tmem199	2.3	3.8	4.5	3.8	4.1	4	3.6	4.2	4	4.3	4.5	3.9	4.6	4.3	3.9
Tmem2	1.9	2.8	2.7	2.8	2.7	2.8	2.6	2.7	2.2	2.9	2.3	2.6	2.1	2.7	2.3
Tmem200a	0.2	0.1	0.2	1	0.5	1.2	0.7	1.4	0.1	0.3	0.6	0.1	1.6	0.7	0.5
Tmem201	1.3	2.4	2.7	1.9	2.4	2.2	2.1	2.5	2.7	2.6	2.6	2.4	2.5	2.9	2
Tmem203	0.9	1.9	3.1	3.1	2.3	3	1.4	2.9	2.4	2.8	2	1.8	2.6	2.8	1
Tmem205	2.8	3.7	4.8	4.7	4.8	4.7	4.7	4.7	4.2	4.4	4.4	4.3	4.1	4.6	4.6
Tmem206	6.4	6.8	6.4	6.5	6.6	6.5	6.7	6.4	6.5	6.4	6.2	6.4	6.8	6.6	6.1
Tmem208	5.5	5.6	6	6.4	6.3	6.3	6.6	6.2	6.2	6	6.7	6.1	6.2	6.4	6.5
Tmem209	2.9	3.6	3.1	3.8	3.5	3.6	3.8	3.4	3.7	3.1	3.1	3.4	3.3	3.9	3.4
Tmem213	0	1.5	0	0	1.1	0	2.2	0	0	0.9	0	2.2	0	0	0.8
Tmem214	2.4	3.1	3.7	3.1	3.6	3.1	3.4	3.1	2.9	3.5	3.3	3.4	3.7	3.8	3.7
Tmem216	1.7	4.5	4.5	4.4	4.3	4.3	4	4.2	4.1	4.7	4.6	4.3	4.8	4.6	3.7
Tmem217	0	1	0	1.4	0	1	0	0.6	0	0	0	0	0	0	0
Tmem218	0	2.3	1.3	1.2	1.4	1.3	1.5	1.4	2.5	2.2	1.8	2.5	3.2	2.4	1.3
Tmem219	2.2	3.6	1.4	2.9	2	2.5	2.5	2	3.6	3.3	2.8	3.3	3.1	2.9	2.4
Tmem220	0	0	1	0	0.9	0	0.7	0	0	0	0.9	0	0	0	0
Tmem222	3.1	4	4.5	4.7	4.4	4.6	4.3	4.5	4.4	4.7	4.7	4.9	4.9	4.8	4.9
Tmem223	3	4.4	4.5	4.4	4.5	4.5	4.5	4.6	4.6	5.2	5.5	4.7	4.9	4.9	5.1
Tmem229a	0.8	0.8	0.6	1.2	0.6	1.3	0.6	1.4	0.3	0.9	0.7	1.5	1.7	0.7	1.1
Tmem230	2.8	4	3.8	3.2	3.6	3.7	3.4	4.1	4	3.4	3.6	3.8	3.3	3.7	4.2
Tmem231	0	2	1.8	1.5	2	1.7	2.1	1.8	2.3	1.1	1.4	1.5	1.9	1.2	2.5
Tmem234	4.8	6.8	6.7	6.8	6.7	6.8	6.7	6.7	7	7.2	7.3	7.1	7.3	7.3	7
Tmem237	2.4	3.2	3.4	4	3.5	4.1	3.6	4.2	3.6	3.8	3.3	3.5	3.7	3.5	3.6
Tmem238	2	3.4	3.8	4.4	3.9	4.3	3.9	4.1	4.6	4.4	4.2	4.3	4.8	4.6	4.2
Tmem241	0	0.6	0	0.4	0	0.5	0	0.5	0	0	0.2	0	1.3	0.2	0.3
Tmem242	3.6	4.8	5.6	4.9	5.2	4.9	4.8	4.8	5.5	5.1	5.6	5.7	5.6	5.2	5.1
Tmem243	1.4	1.4	2	2.2	2.3	2.2	2.6	2.2	2.7	1.8	2.1	2	2.4	3.3	2.5
Tmem245	1.1	1.7	2	1.5	1.5	1.5	1	1.5	1.3	1.7	1.8	1	1.9	2	1.6
Tmem246	0.3	0	1.1	1.4	1.2	1.2	1.2	0.9	1.6	0.4	1.2	0.9	0.9	0.6	1.8
Tmem248	2.4	3.7	3.9	3.8	3.6	3.6	3.2	3.4	3.5	3.7	3.5	4	4	4	3.5
Tmem251	2.7	3.3	3	3	3.3	3.6	3.5	4.2	3.8	3.6	3.7	3	3.8	4.5	4.2
Tmem252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem254a	1	0	1.2	1.6	1.4	1.6	1.6	1.5	0.5	0.9	0.7	0.5	0	0.5	0
Tmem254b	4.6	6.4	6.6	6.3	6.6	6.5	6.5	6.6	5.8	6.1	5.9	6.3	5.6	6.8	5.7
Tmem254c	4.6	5	5	5.3	4	5.1	3	4.8	3.3	5.9	3.2	4.7	4.8	2.2	2.9
Tmem255b	0	1.4	0	1.5	0.2	1.3	0.4	1	0	1.5	0	0	0.4	0.3	0.8
Tmem256	5.8	7.1	7.1	7.3	7.1	7.3	7	7.3	7.4	7.6	7.8	7.5	7.7	7.6	7.7
Tmem258	7.3	8.8	9.3	9.1	9.3	9	9.2	8.9	9.4	9.5	9.7	9.3	9.4	9.6	9.7
Tmem259	2.9	3.4	3.7	3	3.3	3.3	2.9	3.5	3.6	3.5	3.7	3.3	3.7	3.4	3.8
Tmem27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem29	2.9	2.9	3.7	4.3	3.8	3.8	3.9	3.3	4.1	4	4.7	4.3	4.3	4.6	4
Tmem30a	2.6	2.2	2.5	2.4	2.5	2.7	2.4	3	2.9	2.2	3.2	2.8	3	2.7	2.8
Tmem30b	0.9	0.6	1.4	1.7	1.4	1.6	1.4	1.4	1.6	1.5	0.9	1.2	0.7	1.4	0.4
Tmem33	2	2.9	3	2.6	2.8	2.6	2.6	2.5	2.7	3.3	3	2.4	2.9	3.2	3
Tmem35	1.7	1.4	1.6	1.8	1.8	2.2	2	2.5	1.1	0.6	0.3	1.1	2.1	1.6	1.7
Tmem37	2.3	3.4	1.8	4	1.6	3.9	1.3	3.7	0	3.3	0.6	4.5	1.9	3.1	1.9
Tmem38a	1.3	0.6	1.3	1.9	1.2	2.2	1	2.4	0.7	1.4	1.2	1.4	2.4	1.4	1.9
Tmem38b	0.3	0.7	0.7	1.3	0.7	0.8	0.6	0.2	0.3	0.4	0.1	1	0.4	2.1	0.2
Tmem39a	3	3.1	3	2.5	3.2	2.9	3.4	3.3	3.5	3.7	3.6	3.2	3.7	3.2	3.3
Tmem39b	1.6	3.5	3.6	3.9	3.7	3.9	3.8	3.8	4.7	3.3	4.8	3.2	4.3	4.3	3.9
Tmem40	1	1.7	0	0	0.5	0.3	0.9	0.5	0	0	0.4	0	0	0	1
Tmem41a	3	3.8	3.6	3.4	2.9	3.7	2.2	3.9	3.4	3.6	3.9	4	4.2	4.1	3.7
Tmem41b	1.3	2.6	2.2	2.4	2.4	2.5	2.6	2.5	3.1	2.2	2.5	2.1	3.3	2.9	2.3
Tmem42	2.7	2.7	3.6	3.2	3.7	3.1	3.8	2.9	1.8	3.7	3.5	4.1	2.3	3.6	3.7
Tmem43	1.6	2.3	2.1	2.2	2.2	2.3	2.3	2.3	2.6	2.2	3.1	1.7	2.2	2.8	1.5
Tmem45a	0	1.4	1.9	1	1.7	1.5	1.4	1.9	2.4	1	2.2	1.1	1.3	1.6	2
Tmem47	1.5	1.9	2.4	1.8	2.8	1.7	3.1	1.5	3.8	2.1	3.7	2.2	3.4	2.8	3.8
Tmem48	1.6	2.5	2.7	2.6	2.8	2.7	2.8	2.7	3	3.4	3.5	3.2	2.4	3.4	3
Tmem5	1.4	3.8	3.3	2.9	3.2	2.8	3.1	2.7	2.5	3.5	2.7	4.1	3.5	3.9	2.1
Tmem50a	3.3	5.3	5.3	5.2	5.3	5.4	5.2	5.5	5.9	5.4	5.5	5.6	5.5	5.6	5.7
Tmem50b	1.4	1.4	2.4	1.4	1.6	1.6	0.8	1.8	1.1	2.3	1.6	2.1	0.8	2.5	1.6
Tmem51	0.5	2.2	2.5	2.1	2.3	1.7	2	1.3	2.1	2	2.8	2.1	3.7	3	2.7
Tmem54	2.6	3.9	4.3	4.7	4.2	4.4	4	4.1	3.1	4.6	3.9	3.6	3.9	4.2	3.9
Tmem55a	3.6	3.9	3.8	3.9	4.1	3.8	4.4	3.7	3.2	4.1	4.3	4.3	4.6	4.4	3.8
Tmem55b	5.1	6.3	6.4	6.3	6.3	6.3	6.2	6.3	6.5	6.5	6.7	6.4	6.6	6.6	6.6
Tmem56	0	0.1	0	0	0	0	0	0	0	0.4	0	0	0	0.1	0
